lao_translate	viet	score
có_rất_nhiều nghiên_cứu ngoài kia, nhưng tôi biết từ kinh_nghiệm cá nhân.	có hàng đống nghiên cứu, nhưng tôi hiểu nó từ kinh_nghiệm bản thân.	9.5
tôi tin_rằng hy_vọng duy_nhất của chúng_ta cho tương_lai là nắm_lấy ý_tưởng về sinh_thái_học con người, trong đó con_người bắt_đầu xây_dựng_lại những ý_tưởng của chúng_ta trong mối_quan_hệ với sự_giàu_có của con người.	tôi tin_rằng niềm_hy_vọng duy_nhất cho tương_lai là thông_qua một khái_niệm mới về nhân sinh học, khái_niệm mà trong đó chúng_ta bắt_đầu cải_tổ_lại quan_niệm của chúng_ta về khả_năng dồi_dào của con người.	8.75
chúng_ta cần suy_nghĩ_lại về các nguyên_tắc_cơ_bản mà chúng_ta dựa_vào nền_tảng giáo_dục của mình cho con_cháu của chúng ta.	chúng_ta phải nghĩ_lại những nguyên_tắc gốc_rễ mà dựa_trên đó chúng ra đang dạy_dỗ thế_hệ trẻ.	9.5
"một trong những câu nói tuyệt_vời của jonas shoal, người đã nói, ""nếu tất_cả côn_trùng biến_mất khỏi trái đất, trong vòng 50 năm tất_cả sự_sống trên trái_đất sẽ kết thúc."	có một câu nói tuyệt_vời của jonas salk rằng nếu tất_cả côn_trùng biến_mất khỏi trái đất, trong vòng 50 năm sự_sống trên trái_đất sẽ chấm dứt.	9.5
xây_dựng chính_sách tiền_lương trong doanh_nghiệp dựa_trên cơ_chế_thị_trường	xây_dựng chính_sách tiền_lương trong doanh_nghiệp theo cơ_chế_thị_trường	10.0
thị_trường tài_chính đang trải_qua tình_hình ngày_càng đáng báo_động hoặc nghiêm trọng, mặc_dù có tin_tức tài_chính và thị_trường đối_tác từ mỹ và châu âu, nhưng vẫn chưa thể tiếp_cận thị_trường châu á.	các thị_trường tài_chính đang phải đối_mặt_với một tình_hình thậm_chí còn đáng báo_động hơn, với các tin_tức tài_chính và báo_giá chứng_khoán từ mỹ và châu_âu không_thể tiếp_cận thị_trường châu á.	9.0
dung_lượng internet của đài_loan giảm 40% và cuối_cùng gây_tắc_nghẽn mạng.	công_suất mạng_internet của đài_loan đã giảm_xuống 40% và do đó các mạng bị_tắc nghẽn.	8.75
khách_du_lịch nước_ngoài đến việt_nam đạt gần 8,5 triệu lượt, tăng 7,5%.	khách_du_lịch quốc_tế đến việt_nam đạt gần 8,5 triệu lượt, tăng 7,5%.	10.0
"""trong quá_trình toàn_cầu hóa kết nối, tham_gia thị_trường hàng_không quốc tế, tôi cho_rằng thách_thức lớn nhất, trước_hết là làm thế_nào để chúng_ta tạo_ra một môi_trường cạnh_tranh minh bạch, công bằng, tránh phân_biệt_đối_xử về giá không_công bằng."	“trong quá_trình hội nhập, tham_gia vào hàng_không quốc tế, tôi cho rằng, thách_thức rất lớn trước_hết là chúng_ta phải tạo_ra một môi_trường cạnh_tranh làm_sao cho minh bạch, bình đẳng, tránh chuyện cạnh_tranh bằng gía cả mà nó không_hợp lý.	9.75
chiều ngày 08/3, theo thông_tin tin_tức từ_trung_tâm kiểm_soát bệnh_tật tp. hồ chí minh, kết_quả xét_nghiệm của 20 người ngồi trên chuyến_bay vn0054 với ca mắc covid-19 thứ 17, sau đó họ đi tp. hồ chí minh, tất_cả đều có_kết_quả xét_nghiệm âm_tính với virus sars-cov-2.	chiều 8/3, thông_tin từ_trung_tâm kiểm_soát bệnh_tật thành_phố hồ chí minh, kết_quả xét_nghiệm 20 trường_hợp đi_cùng chuyến_bay vn0054 với ca nhiễm covid-19 thứ 17 sau đó di_chuyển về thành_phố_hồ_chí_minh đều có_kết_quả âm_tính với virus sars-cov-2.	10.0
bạn tự_hỏi tại_sao điều này lại xảy ra?	bạn sẽ thắc_mắc sao có những chuyện xảy_ra ngẫu_nhiên như thế ?	9.5
chiều ngày 07/12, phó chủ_tịch liên_đoàn bóng_chuyền việt_nam (aff) nguyễn quốc tùng đã tham_dự cuộc_họp trực_tuyến của liên_đoàn bóng_đá đông_nam_á (aff) để thảo_luận và thông_qua các đề_xuất cho giải_đấu năm 2021.	chiều 7/12, phó chủ_tịch thường_trực liên_đoàn bóng_đá việt_nam trần_quốc_tuấn tham_dự cuộc_họp trực_tuyến của ban thi_đấu liên_đoàn bóng_đá đông_nam_á (aff) nhằm thảo_luận và thông_qua các đề_xuất kế_hoạch tổ_chức các giải_đấu trong năm 2021.	10.0
tất_cả bắt_đầu ở trung đông, trong nhiều năm chúng_ta đã sống với nhận_thức_sai lầm về trung đông.	mọi chuyện khởi_đầu từ vùng trung đông , trong rất nhiều năm chúng_tôi sống với nhận_thức hoàn_toàn sai_lầm về trung đông .	9.75
tổng_cộng có 86 bài dự thi đã được gửi tham_gia cuộc thi, bao_gồm 37 cuốn sách, 49 bài_luận và các ấn_phẩm khác_nhau của các tổ_chức khác nhau, đơn_vị trao giải.	tổng_số có 86 tác_phẩm gửi về, trong đó có 37 sách, 49 bài_viết và chương_trình phát_thanh được các cơ quan, đơn_vị đề_nghị xét tặng thưởng.	8.5
"sáng ngày 8/10, thành_phố_hồ_chí_minh tổ_chức họp_báo về diễn_đàn kinh_tế thành_phố_hồ_chí_minh 2019 với chủ_đề ""phát triển thành_phố_hồ_chí_minh trở_thành trung_tâm tài_chính khu_vực và quốc tế"""	sáng 8/10, thành_phố_hồ_chí_minh tổ_chức họp_báo về diễn_đàn kinh_tế thành_phố_hồ_chí_minh năm 2019 với chủ_đề “phát triển thành_phố_hồ_chí_minh thành trung_tâm tài_chính khu_vực và quốc tế.	9.25
lần đầu_tiên trong lịch_sử hành_tinh này, chúng_ta có_thể thiết_kế sự_sống trực tiếp.	lần đầu_tiên trong lịch_sử của hành_tinh này , chúng_ta có_khả_năng thiết_kế các sinh_vật một_cách trực_tiếp .	10.0
giá_trị biểu_tượng quốc_gia của việt_nam đã tăng_thêm 12 tỷ usd.	gía trị thương_hiệu quốc_gia của việt_nam tăng_thêm 12 tỷ usd	10.0
dự_thảo chiến_lược sở_hữu_trí_tuệ đến năm 2030 đưa_ra một_số kỳ_vọng chi tiết, trong đó, đến năm 2030, chỉ_số sở_hữu_trí_tuệ trong chỉ_số đổi_mới sáng_tạo toàn_cầu (gii) sẽ tăng trung_bình 10%; xây_dựng và phát_triển các ngành_công_nghiệp sử_dụng sở_hữu trí tuệ, đóng_góp vào gdp; đến năm 2025, ít_nhất 25% doanh_nghiệp việt_nam và ít_nhất 50% vào năm 2030 sẽ đưa thiết_bị sở_hữu_trí_tuệ vào chiến_lược sản_xuất kinh_doanh của mình.	dự_thảo chiến_lược sở_hữu_trí_tuệ đến năm 2030 đặt nhiều_mục tiêu cụ thể, trong đó phấn_đấu đến năm 2030, chỉ_số về tài_sản_trí_tuệ trong chỉ_số sáng_tạo toàn_cầu (gii) tăng trung_bình 10%; hình_thành và phát_triển các ngành_công_nghiệp thâm dụng sở_hữu trí tuệ, gia_tăng đáng_kể đóng_góp vào gdp; phấn_đấu đến năm 2025, có ít_nhất 25% và đến năm 2030 ít_nhất 50% số doanh_nghiệp việt_nam đưa công_cụ sở_hữu_trí_tuệ vào chiến_lược sản xuất, kinh doanh.	8.75
tại gian_hàng triển lãm, đại_sứ_quán việt_nam đã giới_thiệu một_số tài liệu, báo, ảnh về văn hóa, lịch sử, dân_tộc và con_người việt nam, đặc_biệt là những thành_tựu phát_triển nổi_bật của việt nam.	trong không_gian trưng bày, đại_sứ_quán việt_nam đã giới_thiệu nhiều tài liệu, sách báo, tranh_ảnh về văn hóa, lịch sử, đất_nước và con_người việt nam, đặc_biệt là thành_tựu phát_triển nổi_bật của việt nam.	9.5
chỉ_số phát_triển chính_phủ_điện_tử của việt_nam được định_giá ở mức_cao	chỉ_số phát_triển chính_phủ_điện_tử của việt_nam được đánh gía ở mức_cao	10.0
có_rất_nhiều câu_chuyện về các loại trí_thông_minh khác_nhau của quạ.	có_rất_nhiều chuyện kể về các loại trí_thông_minh khác_nhau của loài quạ .	9.0
đó là internet, cho_phép bạn duyệt web ở bất_kỳ đâu trên thế giới, gps, cung_cấp cho bạn ý_tưởng chính_xác về vị_trí của bạn trên thế giới; màn_hình cảm_ứng cảm ứng, giúp mọi_người dễ_dàng sử dụng.	đó là mạng_internet , thứ giúp bạn lướt web ở bất_cứ đâu trên thế_giới gps , cái cho_phép bạn biết_được đích_xác nơi mình đang đứng ở bất_cứ nơi đâu trên thế_giới ; màn_hình cảm_ứng , thứ khiến nó trở_nên dễ_sử_dụng hơn với bất_kỳ ai .	9.0
"tại hội thảo, các đại_biểu đã có một_số ý_kiến góp_ý về dự_thảo ""chiến lược quốc_gia phát_triển ngành tài_nguyên và môi_trường đến năm 2030"", tầm_nhìn 2040."	tại hội thảo, các đại_biểu tham_dự đã đóng_góp nhiều ý_kiến vào dự_thảo đề_cương chiến_lược quốc_gia phát_triển ngành tài_nguyên và môi_trường đến năm 2030, tầm_nhìn 2040.	9.0
số_lượng việc_làm cho thư_viện tăng_lên trong một thời_gian_dài sau năm 1957.	số_lượng việc_làm cho thủ_thư tăng_lên trong một thời_gian_dài sau năm 1957 .	8.75
theo chỉ_đạo của thủ_tướng chính_phủ , cảng_hàng_không quốc_tế cục đông là địa_điểm duy_nhất ở miền_bắc sẽ tổ_chức tiệc chiêu_đãi công_dân việt_nam và du_khách việt_nam trở_về nước từ vùng dịch.	theo chỉ_đạo của thủ_tướng chính phủ, cảng_hàng_không quốc_tế vân_đồn là địa_điểm duy_nhất ở khu_vực miền_bắc tổ_chức đón nhân_dân và du_khách người_việt_nam từ vùng dịch trở về.	10.0
việt_nam tăng27 bậc trong bảng_xếp_hạng năng_lực cạnh_tranh công_nghiệp toàn cầu.	việt_nam tăng 27 bậc trong bảng_xếp_hạng năng_lực cạnh_tranh công_nghiệp toàn_cầu	10.0
"đoàn thanh_niên quân_đội và các doanh_nghiệp kinh_tế kỹ_thuật_công_nghiệp quốc_phòng đã trao ""nhà 100 đồng"" cho 2 gia_đình chính sách."	ban thanh_niên quân_đội và tổng_công_ty kinh_tế kỹ_thuật_công_nghiệp quốc_phòng trao_tặng “ngôi nhà 100 đồng cho hai gia_đình chính sách.	9.0
khuyến_khích phát_triển thị_trường vốn vì mục_tiêu phát_triển kinh_tế - xã hội;	thúc_đẩy phát_triển thị_trường vốn phục_vụ các mục_tiêu phát_triển kinh_tế - xã_hội	9.5
trung_tâm truyền_thông quốc_tế có trang_thiết_bị hiện đại, internet nhanh, đồ_ăn ngon đậm chất việt nam.	trung_tâm báo_chí quốc_tế có trang_thiết_bị hiện đại, tốc_độ internet nhanh, thức_ăn ngon, đa dạng, mang đậm bản_sắc việt nam.	9.0
olympic toán_học thế_giới là kỳ thi toán quốc_tế dành_cho học_sinh từ 8 -13 tuổi, được tổ_chức hàng năm.	world mathematics olympiad là cuộc_thi toán_học quốc_tế dành_cho học_sinh từ 8 đến 13 tuổi, được tổ_chức hàng năm.	10.0
tôi đã gặp ted fellows vào ngày đầu_tiên ở đây.	tôi đã thấy anh_chàng ted fellows trong ngày đầu_tiên ở_đây .	10.0
"""chính phủ việt_nam và đan mạch đã hợp_tác về năng_lượng từ năm 2008 đến nay, với khoảng 45 triệu usd đầu_tư từ chính_phủ đan mạch dành_cho việt_nam để phục_vụ phát_triển và mở_rộng các dự_án hướng_tới sử_dụng năng_lượng hiệu_quả và bền vững."	“chính phủ việt_nam và đan mạch hợp_tác về năng_lượng từ năm 2008 đến nay, với nguồn vốn_đầu_tư của_chính_phủ đan mạch đối_với việt_nam khoảng 45 triệu usd phục_vụ phát triển, triển_khai các dự_án cụ_thể hướng_tới sử_dụng năng_lượng hiệu_quả bền vững.	9.25
phong_trào mang nhiều ý_nghĩa đối_với người_nghèo nhân_dịp nghỉ tết_nguyên_đán 2018	nhiều hoạt_động có_ý_nghĩa vì người_nghèo nhân_dịp tết mậu tuất 2018	8.75
việt_nam hỗ_trợ các doanh_nghiệp bangladesh tăng_cường đầu_tư vào việt nam; thúc_đẩy các doanh_nghiệp eu và bỉ, khuyến_khích phát_triển ký_kết và phê_chuẩn hiệp_định thương_mại tự_do việt_nam – eu vì lợi_ích của cả hai bên.	việt_nam ủng_hộ các doanh_nghiệp của bỉ tăng_cường đầu_tư vào việt nam; khuyến_khích các doanh_nghiệp châu_âu và bỉ thúc_đẩy tiến_trình ký và phê_chuẩn hiệp_định thương_mại tự_do việt_nam - liên_minh châu_âu vì lợi_ích của cả hai bên.	9.5
họ chi rất nhiều tiền để mua đối_tác của mình, điều này không_rõ_ràng lắm.	họ dành một lượng_lớn tiền_bạc để mua_lại chứng_khoán của mình , một điều khá là mơ hồ.	10.0
"triển_lãm 200 hiện_vật và ảnh ""văn minh - nghệ_thuật kháng_chiến (1945 – 1954)"	trưng_bày 200 hiện vật, hình_ảnh về “văn học - nghệ_thuật trong kháng_chiến (1945-1954)	10.0
mặc_dù số_lượng khách thương_lượng cao_hơn nhiều so với những ngày bình_thường nhưng ban quản_lý y_tế chủ_tịch hồ_chí_minh đã tổ_chức sự_phối_hợp chặt_chẽ giữa các lực_lượng thuộc tổ di_sản lịch_sử - văn hóa ba định và các tổ_chức liên_quan của hà nội, thực_hiện tốt công_tác chuẩn bị; tổ_chức tiệc chiêu đãi, phục_vụ nhân dân, du_khách quốc_tế bày_tỏ lòng_kính_trọng chủ_tịch hồ_chí_minh một_cách triệt để, an toàn, bảo_mật và tham_quan các di tích, hoạt_động văn hóa trong khu vực.	mặc_dù số_lượng khách đến viếng đông hơn so với những ngày thường, song ban quản_lý lăng chủ_tịch hồ_chí_minh đã chủ_động phối hợp, hiệp_đồng chặt_chẽ giữa các lực_lượng trong cụm di_tích lịch_sử - văn_hoá ba_đình và các cơ_quan_chức_năng của thành_phố hà nội, làm tốt công_tác chuẩn bị; tổ_chức đón tiếp, phục_vụ chu đáo, an_toàn đồng bào, khách quốc_tế vào lăng viếng chủ_tịch hồ_chí_minh và tham_quan các di tích, công_trình văn_hoá trong khu vực.	8.75
tôi ngồi đó tự_hỏi tôi sẽ làm cái quái gì với vở_kịch vô_cảm của mình.	tôi ngồi đó tự_hỏi thế quái nào tôi lại tự bày trò oái_oăm cho mình vậy .	9.0
tôi nói ngu ngốc, bạn biết đấy, có_lẽ chúng_ta nên huấn_luyện họ làm điều gì đó hữu ích.	tôi nói điều đó thật ngu_ngốc , cậu biết đấy , có_lẽ ta nên đào_tạo chúng làm cái gì đấy hữu_ích thì hơn .	10.0
ngân_hàng phát_triển brazil, đang cung_cấp một_số tiền khổng_lồ cho các công_nghệ xanh, khi họ đã công_bố một dự_án tương_lai trị_giá 56 tỷ đô_la cho lĩnh_vực này, cũng đang nắm_giữ các khoản đầu_tư trên.	ngân_hàng phát_triển brazil , nơi đang cung_cấp một lượng_tiền lớn cho công_nghệ_xanh , như họ vừa công_bố một chương_trình 56 tỷ trong_tương_lai dành_cho lĩnh_vực này , cũng đang nắm_giữ cổ_phiếu trong những khoản đầu_tư nói trên ,	10.0
tại buổi làm việc, hai bên đã trao_đổi ý_kiến về các chính_sách hỗ_trợ phát_triển ngành_khoa_học - công_nghệ của thành_phố_hồ_chí_minh (đặc biệt là giai_đoạn 2016-2020); hệ_thống hành_chính công về các vấn_đề sở_hữu trí tuệ, chính_sách hỗ_trợ phát_triển sở_hữu_trí_tuệ tại tp.	tại buổi làm việc, hai bên trao_đổi về chính_sách hỗ_trợ phát_triển lĩnh_vực khoa_học công_nghệ của thành_phố_hồ_chí_minh (đặc biệt trong giai_đoạn 2016 – 2020); hệ_thống quản_lý_nhà_nước về sở_hữu trí tuệ, chính_sách hỗ_trợ phát_triển tài_sản_trí_tuệ tại thành_phố hồ chí minh.	9.5
egan đã thuyết_phục the new yorker bắt_đầu một tài_khoản về tiểu_thuyết của new yorker từ những gì họ có_thể tweet từng dòng cô viết.	egan đã thuyết_phục tạp_chí the new yorker bắt_đầu một tài_khoản trên new yorker viễn_tưởng từ những gì mà họ có_thể tweet tất_cả những dòng bà viết .	9.5
vậy chúng_ta biết gì về rò_rỉ phương_tiện_truyền_thông này?	vậy chúng_ta biết gì về các vụ rò_rỉ thông_tin này ?	10.0
vì vậy, tôi nghĩ_về hòa bình, và sau đó tôi nghĩ, đâu là khởi_đầu của hòa bình?	do đó tôi nghĩ_về hoà_bình , và rồi tôi suy_nghĩ , nơi nào_là điểm bắt_đầu của hoà_bình ?	9.5
đối_với phụ nữ, nhút_nhát là làm mọi thứ, hoàn_thiện nó và không để người khác nhìn_thấy bạn.	đối_với phụ_nữ , sự_xấu_hổ là làm tất_cả điều đó , làm một_cách hoàn_hảo và không bao_giờ để người khác thấy bạn đang đổ_mồ_hôi .	9.25
sau 3 ngày tại thành_phố hồ chí minh, vào tối_ngày 24/9, sự_kiện làng asean 2017 được tổ_chức nhân_dịp kỷ_niệm 50 năm thành_lập asean và kỷ_niệm 22 năm việt_nam gia_nhập asean.	sau 3 ngày diễn_ra tại thành_phố hồ chí minh, tối 24/9, sự_kiện ngôi làng asean 2017 được tổ_chức nhân_dịp kỷ_niệm 50 năm thành_lập asean và 22 năm việt_nam gia_nhập asean bế mạc.	9.0
ông bày_tỏ lòng_biết_ơn trước sự_ủng_hộ to_lớn của các đồng_minh quốc tế, nhất_là sự_ủng_hộ hết_lòng của đảng, nhà_nước và quân_đội_nhân_dân lào đối_với sự_phát_triển của quân_đội_nhân_dân việt_nam cũng như trong việc xây_dựng và bảo_vệ chủ_nghĩa_xã_hội ở việt nam.	đại_tá tào văn thái bày_tỏ cảm_ơn sự_ủng_hộ to_lớn của bạn_bè quốc tế, đặc_biệt là sự_giúp_đỡ chí, nghĩa chí_tình của đảng, nhà_nước và quân_đội_nhân_dân lào đối_với sự_trưởng_thành của quân_đội_nhân_dân việt_nam cũng như trong công_cuộc xây_dựng và bảo_vệ tổ_quốc việt_nam xã_hội chủ nghĩa.	9.0
tạo hệ_thống giá_trị phát_triển kinh_tế - xã_hội cho đồng_bào dân_tộc_thiểu_số	tạo chuỗi liên_kết gía trị phát_triển kinh tế- xã_hội vùng dân_tộc_thiểu_số	9.5
bên_cạnh đó, những khó khăn, thách_thức mà asean phải đối_mặt và cần được củng_cố khi mở_rộng_phạm_vi mạng 5g đã được nêu_ra để tham vấn.	đồng thời, những khó khăn, thách_thức của asean sẽ phải đối_mặt và cần phối_hợp khi triển_khai xây_dựng hệ_sinh_thái cho mạng 5g cũng được đưa_ra thảo luận.	9.0
nhờ hệ_thống biểu_tượng và sự_nhiệt_tình luyện tập, tôi đã có_thể tập_trung_vào việc nhảy_múa đến_mức sau một_vài tuần tôi đã có_thể nhảy.	nhờ_vào hệ_thống biểu_tượng trong huyền_thoại và đam_mê trong tập_luyện tôi đã luyện được cách tập_trung cao_độ trong khiêu_vũ sự_tập_trung sắc_bén tới độ chỉ sau vài tuần tôi đã có_thể khiêu_vũ	8.75
đảm_bảo môi_trường đầu_tư tốt_nhất cho nhà_đầu_tư nước_ngoài mở_rộng tại việt_nam	đảm_bảo môi_trường đầu_tư tốt_nhất để các nhà_đầu_tư nước_ngoài phát_triển tại việt_nam	10.0
ông chỉ ra, để các tổ_chức này được thành_lập tốt hơn, cần nâng_cao nhận_thức của người dân, điều quan_trọng là nhận_thức và trách_nhiệm của các tổ_chức trong bộ_máy nhà_nước trong việc_công bố_chính sách, kế_hoạch chính sách, pháp_luật và quy_định để nâng_cao vai_trò của các tổ_chức xã hội.	tiến sỹ phạm văn tân chỉ_rõ để các tổ_chức này đóng_góp tốt_hơn nữa cần nâng_cao nhận_thức của người dân, quan_trọng là nhận_thức và trách_nhiệm của các cơ_quan trong bộ_máy nhà_nước trong việc ban_hành chính sách, chủ_trương pháp_luật để tăng_cường vai_trò của các tổ_chức xã hội.	8.75
ở nigeria, mọi_người mang những thứ quý_giá nhất trên đầu.	ở nigeria , người_dân mang món đồ_quý nhất đối_với họ ở_trên_đầu .	10.0
cha tôi để_lại di_sản viết_lách thông_qua thư và sổ tay.	bố tôi để_lại_cho tôi một di_sản với chữ_viết của ông qua những lá_thư và cuốn vở .	9.75
ngân_hàng uob ước_tính việt_nam thu_hút 20 tỷ usd fdi trong năm nay	ngân_hàng uob dự_báo việt_nam thu_hút 20 tỷ usd vốn fdi trong năm nay	10.0
phát_biểu tại lễ treo_cờ asean năm 2018, ông nguyễn minh áng, đại_biện đại_sứ_quán việt_nam tại chile nhấn_mạnh những đóng_góp của asean cho hòa bình và ổn_định của khu_vực đông_nam_á trong 51 năm qua, trong đó điều_thú_vị nhất_là việc thành_lập cộng_đồng asean.	phát_biểu tại lễ thượng cờ asean năm 2018, đại_biện_lâm_thời nguyễn minh anh nhấn_mạnh sự_đóng_góp của asean đối_với hoà_bình và ổn_định của khu_vực đông_nam_á trong_suốt 51 năm qua, trong đó đáng_kể là việc hình_thành cộng_đồng asean.	8.75
hà_nội tăng_cường hợp_tác với pháp trong lĩnh_vực phát_triển đô_thị	hà_nội tăng_cường hợp_tác với pháp trong lĩnh_vực phát_triển giao thông, đô_thị	10.0
nghiên_cứu một_số dự_luật ảnh_hưởng_đến các khu_vực bộ_lạc thiểu_số	nghiên_cứu một_số dự_án luật tác_động lớn đến vùng dân_tộc_thiểu_số	9.75
hầu_hết mọi_người suy_đoán_rằng các cuộc_gọi văn_bản để tiết_kiệm tiền sẽ hoạt_động_tốt nhất.	hầu_hết mọi_người đoán là thông_điệp kêu_gọi tiết_kiệm tiền sẽ đạt_được hiệu_quả tốt_nhất .	9.5
đó là những công_cụ mà họ học cách_làm việc trong vài phút.	đó là những công_cụ mà họ chỉ học cách hoạt_động trong vòng vài phút .	10.0
năm 2018, năm thứ_năm liên_tiếp việt_nam đưa hơn 100.000 lao_động đi_làm việc ở_nước_ngoài theo hợp_đồng hợp_đồng mỗi năm	năm 2018 là năm thứ_5 liên_tiếp việt_nam đưa được trên 100 nghìn lao_động đi_làm việc ở_nước_ngoài theo hợp_đồng trong một năm.	10.0
hiện nay, đầu_tư của doanh_nghiệp việt_nam vào lào đứng thứ 3 trong số các quốc_gia có dự_án đầu_tư tại lào.	hiện đầu_tư của các doanh_nghiệp việt_nam tại lào đứng thứ 3 trong số các nước có dự_án đầu_tư tại lào.	10.0
việt nam, lào và campuchia dỡ_bỏ các rào_cản để khuyến_khích thương_mại biên_giới	việt nam, lào và campuchia tháo_gỡ rào_cản thúc_đẩy giao_thương mại biên_giới	10.0
tiềm_năng phát_triển kinh_tế của việt_nam sẽ mang_lại nhiều cơ_hội cho doanh_nghiệp nhật_bản	tiềm_năng phát_triển của kinh_tế việt_nam sẽ mang_lại nhiều cơ_hội cho doanh_nghiệp nhật_bản	10.0
hội_nghị là một trong những sáng_kiến của việt_nam nhằm thúc_đẩy hội_nhập khu_vực về chính sách, đầu tư, phát_triển công nghệ, dịch_vụ và mạng 5g	hội_nghị là một trong những sáng_kiến của việt_nam nhằm đẩy_mạnh phối_hợp trong khu_vực về chính sách, đầu tư, phát_triển công nghệ, dịch_vụ và ứng_dụng 5g.	10.0
và nó có làm tương_tự với tuyên_ngôn quốc_tế về nhân_quyền và tất_cả các tu chính án đã được đề xuất, và tuyên_bố quốc_tế về nhân_quyền và thỏa thuận về nhân_quyền và quyền cơ_bản của liên_minh châu_âu và tự_do ngôn_luận không?	và làm điều tương_tự với bản_tuyên_ngôn nhân_quyền và tất_cả các đề_nghị bổ_sung và tuyên_ngôn quốc_tế về nhân_quyền và hiệp_định nhân_quyền và quyền cơ_bản của liên_minh châu_âu và tự_do ngôn_luận ?	9.75
và tôi đã không rời_khỏi nhà trong khoảng ba ngày.	và thực_sự là tôi đã không rời_khỏi nhà trong khoảng ba ngày .	9.75
ông hiện đang được cách_ly và điều_trị tại bệnh_viện bệnh nhiệt_đới tp. hồ chí minh, oxy, thuốc kháng virus và thuốc chống nhiễm trùng.	hiện tại, bệnh_nhân đang được cách_ly điều_trị tại bệnh_viện bệnh nhiệt_đới thành_phố hồ chí minh, thở oxy, điều_trị kháng_sinh và kháng virus.	9.75
những hành_động nhỏ có_thể tạo_ra sự_khác_biệt lớn.	có những hành_động nhỏ có_thể tạo_ra một thay_đổi lớn .	9.75
chi tiết, theo tờ báo, trong quá_trình đàm_phán hợp_đồng với hlv trưởng đội_tuyển bóng_đá quốc_gia việt nam, park hang seo, vff đã đưa_ra yêu_cầu hlv dẫn_dắt đội_tuyển bóng_đá quốc_gia việt_nam đến vòng_loại asian cup 2023.	cụ thể, theo tờ_báo này, trong tiến_trình đàm_phán hợp_đồng với huấn_luyện_viên trưởng đội_tuyển quốc_gia việt_nam park hang seo, vff đã đưa_ra yêu_cầu đối_với vị huấn_luyện_viên là phải đưa đội_tuyển quốc_gia việt_nam giành vé vào chơi trận_chung_kết asian cup 2023.	10.0
